"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"ALS Detection Framework Based on Automatic Singular Spectrum Analysis and Quantum Convolutional Neural Network From EMG Signals","K. K. Makam; V. K. Singh; R. B. Pachori","Department of Electrical Engineering, Indian Institute of Technology Indore, Indore, India; Department of Electrical Engineering, Indian Institute of Technology Indore, Indore, India; Department of Electrical Engineering, Indian Institute of Technology Indore, Indore, India",IEEE Sensors Letters,"6 Sep 2024","2024","8","9","1","4","Electromyogram (EMG) signals are recordings of the electrical activity in muscles, which are studied due to their informative nature regarding neuromuscular disorders. Analysis of EMG signals is invaluable for identifying various neuromuscular conditions. In this letter, an automatic singular spectrum analysis (Auto-SSA) and quantum convolutional neural network (QCNN)-based framework is proposed for the detection of amyotrophic lateral sclerosis (ALS) using EMG signals. The Auto-SSA effectively decomposes the EMG signals into reconstructed components, from which the particle swarm optimization extracts the most significant features. The QCNN classifies the extracted features for efficient ALS detection. The proposed framework outperforms the compared state-of-the-art ALS detection frameworks, achieving a testing accuracy of 98.50%. With the obtained performance, the proposed framework could be a valuable diagnostic tool for ALS neuromuscular conditions.","2475-1472","","10.1109/LSENS.2024.3449369","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10646470","Sensor applications;amyotrophic lateral sclerosis (ALS) identification;and quantum machine learning;automatic singular spectrum analysis (Auto-SSA);electromyogram (EMG);particle swarm optimization (PSO);quantum convolutional neural network (QCNN)","Electromyography;Training;Feature extraction;Testing;Sensors;Accuracy;Machine learning","","8","","19","IEEE","26 Aug 2024","Sept. 2024","","IEEE","IEEE Journals"
"Quantum Convolutional Neural Network-based Online Malware File Detection for Smart Grid Devices","A. R. Akash; B. Ahn; A. Jenkins; A. Khot; L. Silva; H. Tavares-Vengas; T. Kim","Electrical Engineering and Computer Science, Texas A&M University-Kingsville, Kingsville, TX, USA; Electrical Engineering and Computer Science, Texas A&M University-Kingsville, Kingsville, TX, 78363 USA; Electrical Engineering and Computer Science, Texas A&M University-Kingsville, Kingsville, TX, 78363 USA; Electrical Engineering and Computer Science, Texas A&M University-Kingsville, Kingsville, TX, 78363 USA; Electrical Engineering and Computer Science, Texas A&M University-Kingsville, Kingsville, TX, 78363 USA; Electrical Engineering and Computer Science, Texas A&M University-Kingsville, Kingsville, TX, 78363 USA; Electrical Engineering and Computer Science, Texas A&M University-Kingsville, Kingsville, TX, 78363 USA",2023 IEEE Design Methodologies Conference (DMC),"29 Jan 2024","2023","","","1","5","Cybersecurity concerns have arisen due to extensive information exchange among networked smart grid devices which also employ seamless firmware update. An outstanding issue is the presence of malware-injected malicious devices at the grid edge which can cause severe disturbances to grid operations and propagate malware on the power grid. This paper proposes a cloud-based, device-specific malware file detection system for smart grid devices. In the proposed system, a quantum-convolutional neural network (QCNN) with a deep transfer learning (DTL) is designed and implemented in a cloud platform to detect malware files targeting various smart grid devices. The proposed QCNN algorithm incorporates quantum circuits to extract more features from the malware image files than the filter in conventional CNNs and the DTL method to improve detection accuracy for different types of devices (e.g., processor architecture and operating systems). The proposed algorithm is implemented in the IBM Watson Studio cloud platform that utilizes IBM Quantum processor. The experimental results validate that the proposed malware file detection method significantly improves the malware file detection rates compared to the conventional CNN-based method.","","979-8-3503-1554-7","10.1109/DMC58182.2023.10412597","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10412597","cybersecurity;deep transfer learning;cybersecurity;malware detection;quantum convolutional neural network;smart grid devices","Transfer learning;Feature extraction;Malware;Smart grids;Convolutional neural networks;Computer security;Quantum circuit","","4","","22","IEEE","29 Jan 2024","24-26 Sept. 2023","24-26 Sept. 2023","IEEE","IEEE Conferences"
"Eye Movement Detection Based on SM-SSA and Quantum CNN from EMG of EOM Signals","K. K. Makam; V. K. Singh; R. B. Pachori","Department of Electrical Engineering, Indian Institute of Technology Indore, Indore, India; Department of Electrical Engineering, Indian Institute of Technology Indore, Indore, India; Department of Electrical Engineering, Indian Institute of Technology Indore, Indore, India",IEEE Sensors Letters,"11 Apr 2025","2025","9","5","1","4","Analysis and classification of electromyogram (EMG) signals are pivotal for developing assistive technologies. These signals are nonstationary in nature and require nonstationary signal processing methods for their analysis. In this study, the sliding mode singular spectrum analysis (SM-SSA) method is considered for analysis of EMG of extraocular muscles (EOM) signals. Furthermore, we propose a new framework combining SM-SSA and quantum convolutional neural network (QCNN) for the task of eye movement detection. The SM-SSA decomposes EMG of EOM signals into its constituent components from which features are extracted. The neighborhood component analysis is used to obtain the optimal set of features which are classified into different eye movement classes using QCNN classifier. The proposed framework achieved a classification accuracy of 98.70%, outperforming compared methods from literature.","2475-1472","","10.1109/LSENS.2025.3550346","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10923688","Sensor applications;electromyogram (EMG) of extraocular muscles (EOM);neighborhood components analysis;quantum convolutional neural networks (QCNNs);sliding mode singular spectrum analysis (SM-SSA)","Feature extraction;Electromyography;Entropy;Muscles;Data mining;Complexity theory;Accuracy;Spectral analysis;Machine learning algorithms;Decoding","","2","","24","IEEE","12 Mar 2025","May 2025","","IEEE","IEEE Journals"
"Quantum Convolutional Neural Network based on Variational Quantum Fuzzy Inference","F. Zheng; Z. Liu; S. Zhang","School of Cyberspace Security, Chengdu University of Information Technology, Chengdu, China; School of Cyberspace Security, Chengdu University of Information Technology, Chengdu, China; School of Cyberspace Security, Chengdu University of Information Technology, Chengdu, China","2024 5th International Conference on Information Science, Parallel and Distributed Systems (ISPDS)","12 Sep 2024","2024","","","629","632","In recent years, with the rapid development of quantum technology, quantum machine learning has attracted wide attention. In this paper, we propose a novel quantum machine learning model which introduces variational quantum gates in the quantum fuzzy inference circuits, and adjusts the variational gate parameters to automatically learn fuzzy rules for data classification through quantum machine learning training. Comparison results on the iris dataset show that our variational quantum fuzzy inference quantum convolutional neural network (VQFI-QCNN) outperforms classical multi layer perceptron (MLP) neural networks with a similar number of parameters, demonstrating the potential advantages of quantum. Due to the better results on the iris structured dataset, our VQFI-QCNN deserves further investigation, and as the number of quantum bits available for quantum computers increases, our method may also be applied in the future to efficiently classify structured data in mega data.","","979-8-3503-5271-9","10.1109/ISPDS62779.2024.10667586","National Natural Science Foundation of China; Research and Development; Research and Development; Research and Development; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10667586","parameterized quantum circuits;quantum fuzzy inference;quantum convolutional neural network;artificial intelligence;parallel computing","Fuzzy logic;Training;Iris;Quantum computing;Neural networks;Distributed databases;Machine learning","","1","","10","IEEE","12 Sep 2024","31 May-2 June 2024","31 May-2 June 2024","IEEE","IEEE Conferences"
"Dark Web Image Classification Using Quantum Convolutional Neural Network","A. Dalvi; S. Bhoir; I. Siddavatam; S. G. Bhirud","Department of Computer Engineering, Veermata Jijabai Technological Institute, India; Department of Information Technology, K. J. Somaiya College of Engineering, India; Department of Information Technology, K. J. Somaiya College of Engineering, India; Department of Computer Engineering, Veermata Jijabai Technological Institute, India",2022 International Conference on Trends in Quantum Computing and Emerging Business Technologies (TQCEBT),"14 Feb 2023","2022","","","1","5","Researchers have investigated the dark web for various purposes and with various approaches. Most of the dark web data investigation focused on analysing text collected from HTML pages of websites hosted on the dark web. In addition, researchers have documented work on dark web image data analysis for a specific domain, such as identifying and analyzing Child Sexual Abusive Material (CSAM) on the dark web. However, image data from dark web marketplace postings and forums could also be helpful in forensic analysis of the dark web investigation.The presented work attempts to conduct image classification on classes other than CSAM. Nevertheless, manually scanning thousands of websites from the dark web for visual evidence of criminal activity is time and resource intensive. Therefore, the proposed work presented the use of quantum computing to classify the images using a Quantum Convolutional Neural Network (QCNN). Authors classified dark web images into four categories alcohol, drugs, devices, and cards. The provided dataset used for work discussed in the paper consists of around 1242 images. The image dataset combines an open source dataset and data collected by authors. The paper discussed the implementation of QCNN and offered related performance measures.","","978-1-6654-5361-5","10.1109/TQCEBT54229.2022.10041625","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10041625","Dark Web;Marketplace Images;Quantum Circuit;Quantum Computing for Cyber Security;Quantum Convolutional Neural Network","Performance evaluation;Drugs;Visualization;Dark Web;Quantum computing;Forensics;Market research","","1","","17","IEEE","14 Feb 2023","13-15 Oct. 2022","13-15 Oct. 2022","IEEE","IEEE Conferences"
"Quantum-Enhanced YOLOv8 for Intelligent Safety Helmet Detection on Construction Sites","L. -C. Hung; K. -C. Hsu; C. Yu-Ming","Dept. of Electrical Engineering, Cheng Shiu University, Kaohsiung, Taiwan; Dept. of Electrical Engineering, Cheng Shiu University, Kaohsiung, Taiwan; Dept. of Electrical Engineering, Cheng Shiu University, Kaohsiung, Taiwan",2025 13th International Conference on Orange Technology (ICOT),"12 Mar 2026","2025","","","1","4","This paper presents construction site safety is a critical challenge, particularly in monitoring personnel compliance with protective equipment such as safety helmets. Traditional object detection methods, including classical YOLOv8, achieve high accuracy in standard scenarios but often struggle under complex environments characterized by small object sizes, occlusions, variable lighting, and dense human presence. This study proposes a hybrid quantum-classical approach by integrating a quantum convolutional neural network (QCNN) with YOLOv8 for enhanced safety helmet detection. The QCNN module leverages quantum superposition and entanglement to encode and extract high-dimensional feature representations from input images, effectively capturing subtle patterns that may be missed by classical convolutional layers. The quantum features are fused with classical CNN features and processed through YOLOv8’s neck and head layers to predict bounding boxes, class labels, and object confidence. Experimental evaluation demonstrates that the proposed Quantum YOLOv8 framework improves small-object detection, enhances robustness against occlusion and lighting variations, and maintains high detection accuracy in dense, cluttered environments.","","979-8-3315-8183-1","10.1109/ICOT68409.2025.11425369","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11425369","Quantum;olov8;Q NN;Neural Network","Deep learning;Quantum entanglement;Lighting;Object detection;Helmets;Feature extraction;Probabilistic logic;Real-time systems;Robustness;Safety","","","","21","IEEE","12 Mar 2026","1-3 Dec. 2025","1-3 Dec. 2025","IEEE","IEEE Conferences"
"Hybrid Quantum Convolutional Neural Networks in TensorFlow Quantum","B. Khurelsukh","School of Electrical and Electronic Engineering, University College Dublin, Dublin, Ireland",2022 33rd Irish Signals and Systems Conference (ISSC),"19 Jul 2022","2022","","","1","7","This paper presents a quantum convolutional neural network (QCNN) that classifies the happy and sad emotions from the fabled facial emotion recognition dataset (FER), FER-2013. The model uses the data re-uploading concept on the qubit(s) of the parameterized quantum circuits (PQCs) in the quantum convolutional layer of the hybrid QCNN model, which achieved a 70.25 % validation accuracy on the test set. Later, a model averaging ensemble approach was implemented which yielded results motivating further investigation.","2688-1454","978-1-6654-5227-4","10.1109/ISSC55427.2022.9826145","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9826145","QCNN;FER","Emotion recognition;Convolution;Qubit;Data models;Convolutional neural networks;Integrated circuit modeling;Task analysis","","3","","14","IEEE","19 Jul 2022","9-10 June 2022","9-10 June 2022","IEEE","IEEE Conferences"
"Medical Image Recognition for Breast Cancer Detection Using Hybrid Quantum-Classical Deep Learning","T. S. Lawrence; M. Margala; P. Chakrabarti; S. S. S; N. G","School of Computing and Informatics, University of Louisiana at Lafayette, USA; School of Computing and Informatics, University of Louisiana at Lafayette, USA; Department of Computer Science and Engineering, Sir Padampat Singhania University, Udaipur, Rajasthan, India; Department of Computer Science and Engineering, KG Reddy College of Engineering and Technology, Hyderabad, Telangana, India; Department of Computer Science and Engineering, Sathyabama Institute of Science and Technology, Chennai, Tamil Nadu, India",2025 International Conference on Emerging Engineering Technologies and Applications (IC-EETA),"9 Jun 2026","2025","","","829","833","One of the common and maybe fatal diseases harming women all around, breast cancer is one such condition. Accurate medical image analysis allows for early detection, which can greatly increase survival rates. Although they encounter challenges such as high computational expenses, poor data efficiency, and suboptimal feature extraction, conventional deep learning methods have produced promising results. By using quantum parallelism and entanglement to enable more quick and more complex computations, quantum computing provides a new approach to overcome these limitations. This paper intends to propose a hybrid quantum-classical deep learning model for the identification of breast cancer areas in mammographic images. The proposed method combines a quantum convolutional neural network (QCNN) with a classical convolutional neural network (CNN) to benefit from the advantages accompanying both classical and quantum processing. The hybrid model processes the mammogram data using classical pre-processing and quantum convolution layers; classification then follows with fully connected layers followed by classical pooling. The results of the MIAS dataset experiments indicate a classification accuracy of 98.4%, which is superior to the operation of traditional CNN and transfer learning-based models.","","979-8-3315-9566-1","10.1109/IC-EETA66496.2025.11548221","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11548221","Quantum computing;hybrid deep learning;breast cancer detection;quantum convolutional neural network;medical image analysis","Modeling;Breast cancer;Convolutional neural networks;Biomedical imaging;Accuracy;Printing;Joining processes;Convolution;Deep learning;Feature extraction","","","","16","IEEE","9 Jun 2026","6-8 Nov. 2025","6-8 Nov. 2025","IEEE","IEEE Conferences"
"A Novel Framework For Brain Disease Classification Using Quantum Convolutional Neural Network","S. Chandra; S. Saxena; S. Kumar; M. K. Chaube; N. K. Bodhey","Data Science and Artificial Intelligence, IIIT-Naya Raipur, Chhattisgarh, India; Data Science and Artificial Intelligence, IIIT-Naya Raipur, Chhattisgarh, India; Computer Science and Engineering, IIIT-Naya Raipur, Chhattisgarh, India; Mathematical Sciences, IIIT-Naya Raipur, Chhattisgarh, India; Radio-Diagnosis, All India Institute of Medical Sciences Raipur, Chhattisgarh, India",2022 IEEE International Women in Engineering (WIE) Conference on Electrical and Computer Engineering (WIECON-ECE),"19 Jun 2023","2022","","","346","351","More than 3,410 children and teens (under the age of 20) in India suffer from catastrophic brain disorders and the creation of abnormal brain cells each year, according to recent reports on the country’s rapid increase in brain ailments. It is difficult to quantify the survival rate of human patients due to the rarity, variability, and abnormal development of tumors. These patients cannot be accurately predicted using machine learning approaches for early diagnosis. These methods need a huge amount of discriminatory information and processing time based on annotated limited brain image datasets to classify diseases. To solve this problem, we proposed a novel model based on Quantum Convolutional Neural Network techniques for early diagnosis of tumors in a less invasive manner that may reduce the number of operations and more precisely define the kind of therapy needed. The proposed framework uses image processing techniques to remove noise and other specific artifacts from the brain images. After that, the processed images are segmented into distinct regions of interest using machine learning techniques. The suggested framework uses deep quantum approaches to identify brain disorders based on extracted discriminating characteristics from the brain images, such as textures and qubit features, enabling reliable prediction of brain disorders. The proposed system provided 93.99% accuracy for the accurate prediction of brain diseases using classical models and 88.7% accuracy using the Quantum Convolutional Neural Network (QCNN) model.","","979-8-3503-1156-3","10.1109/WIECON-ECE57977.2022.10150851","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10150851","Brain tumor;Quantum Machine Learning;neurological examination;meningioma;glioma","Computational modeling;Qubit;Machine learning;Predictive models;Brain modeling;Feature extraction;Convolutional neural networks","","7","","19","IEEE","19 Jun 2023","30-31 Dec. 2022","30-31 Dec. 2022","IEEE","IEEE Conferences"
"Stabilized classification control using multi-stage quantum convolutional neural networks for autonomous driving","E. J. Roh; S. Park; S. Jung; J. Kim","Department of Electrical and Computer Engineering, Korea University, Seoul 02841, Republic of Korea; Division of Computer Science, Sook-myung Women's University, Seoul 04310, Republic of Korea; Department of Electrical and Computer Engineering, Ajou University, Suwon 16499, Republic of Korea; Department of Electrical and Computer Engineering, Korea University, Seoul 02841, Republic of Korea",Journal of Communications and Networks,"26 Aug 2025","2025","27","4","264","272","Real-time processing with high classification accuracy is a fundamental requirement in autonomous driving systems. However, existing neural network models for classification often face a tradeoff between computational efficiency and accuracy, necessitating the development of advanced optimization methods to address this limitation. Additionally, dynamic driving environments offer opportunities to enhance classification performance by leveraging the principles of quantum computing, particularly the properties of superposition and entanglement. In response to these challenges, a multi-stage quantum convolutional neural network (MS-QCNN) approach is proposed, designed to improve image analysis performance by effectively utilizing the multi-stage structure of QCNN. A Lyapunov optimization framework is applied to achieve optimal performance, which maximizes time-averaged efficiency while ensuring system stability. This framework dynamically adjusts the MS-QCNN model in response to environmental variations, promoting enhanced queue stability and achieving optimal time-averaged performance.","1976-5541","","10.23919/JCN.2025.000021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11142618","Autonomous driving;Lyapunov optimization;multi-stage quantum convolutional neural network","Quantum state;Convolution;Tensors;Optimization;Autonomous vehicles;Accuracy;Feature extraction;Real-time systems;Qubit;Computer architecture","","","","","","26 Aug 2025","Aug. 2025","","KICS","KICS Journals"
"Design of Superior Parameterized Quantum Circuits for Quantum Image Classification","S. Mishra; C. -Y. Tsai","Department of Electrical and Computer Engineering, Tamkang University, New Taipei City, Taiwan; Department of Electrical and Computer Engineering, Tamkang University, New Taipei City, Taiwan",2022 14th International Conference on Computer and Automation Engineering (ICCAE),"26 Apr 2022","2022","","","70","73","In this paper, we present a novel quantum neural network (QNN) algorithm enhanced with transfer learning to perform multi-class image classification. The proposed QNN extracts quantum image encoding measurements through the quantum state tomography framework and passes the sampled features through the classical neural network architecture to the proposed learnable parameterized quantum circuit (PQC) followed by gradient update via quantum backpropagation. We benchmark three different PQCs to demonstrate that our proposed algorithm outperforms similar classical CNN architecture in test accuracy on CIFAR10 and MNIST datasets. Present results more prominently establish the success of PQC designs which will be further used in the design of 2D quantum convolutional neural network (QCNN).","","978-1-6654-8380-3","10.1109/ICCAE55086.2022.9762420","Ministry of Science and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9762420","quantum machine learning;parameterized quantum circuit;quantum neural network;image classification","Transfer learning;Neural networks;Computer architecture;Tomography;Feature extraction;Classification algorithms;Convolutional neural networks","","4","","33","IEEE","26 Apr 2022","25-27 March 2022","25-27 March 2022","IEEE","IEEE Conferences"
"Quantum Dilated Convolutional Neural Networks","Y. Chen","IBM Corporation, KIC Technology Center, Shanghai, China",IEEE Access,"28 Feb 2022","2022","10","","20240","20246","In recent years, with rapid progress in the development of quantum technologies, quantum machine learning has attracted a lot of interest. In particular, a family of hybrid quantum-classical neural networks, consisting of classical and quantum elements, has been massively explored for the purpose of improving the performance of classical neural networks. In this paper, we propose a novel hybrid quantum-classical algorithm called quantum dilated convolutional neural networks (QDCNNs). Our method extends the concept of dilated convolution, which has been widely applied in modern deep learning algorithms, to the context of hybrid neural networks. The proposed QDCNNs are able to capture larger context during the quantum convolution process while reducing the computational cost. We perform empirical experiments on MNIST and Fashion-MNIST datasets for the task of image recognition and demonstrate that QDCNN models generally enjoy better performances in terms of both accuracy and computation efficiency compared to existing quantum convolutional neural networks (QCNNs).","2169-3536","","10.1109/ACCESS.2022.3152213","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9715107","Quantum-classical neural networks;quantum dilated convolution;parameterized quantum circuits","Convolution;Encoding;Quantum computing;Quantum circuit;Logic gates;Qubit;Feature extraction","","35","","58","CCBY","16 Feb 2022","2022","","IEEE","IEEE Journals"
"Hybrid Quantum-Convolutional Neural Network With Spatial Attention for Accurate Classification of Maternal-Fetal Planes in Ultrasound Images","S. Priyadharshni; V. Ravi","School of Electronics Engineering, Vellore Institute of Technology, Chennai, India; Centre for Neuroinformatics, School of Electronics Engineering, Vellore Institute of Technology, Chennai, India",IEEE Access,"6 Nov 2025","2025","13","","188306","188325","Antenatal ultrasound (US) examination is the primary mode of assessment in fetal development and is considered completely safe for both the mother and the baby. However, ultrasound scans are subject to disturbances by various factors, which complicate the fetal biometry measurements and demand more of the examiner’s time. To enhance the diagnostic efficiency of fetal plane classification for detecting abnormalities and to optimize computational efficiency, a model utilizing quantum computation to accelerate processing speeds in a practical healthcare environment is proposed. A Hybrid Quantum-Convolutional Neural Network with Spatial Attention for Fetal Ultrasound Plane Classification (HQ-CNN-SA) is developed for accurate classification of maternal-fetal planes in ultrasound images is designed for two approaches: 1) classification of pre-processed low-resolution images using HQ-CNN-SA, and 2) extraction of deep features from high-resolution images by a deep learning model, followed by HQ-CNN-SA classification. It integrates quantum and classical convolution with attention techniques to classify maternal-fetal plane ultrasound images into six categories: maternal cervix, brain, abdomen, femur, thorax, and other. Experimental findings indicate that the low-resolution HQ-CNN-SA model achieves 93% classification accuracy,whereas the high-resolution deep feature-based HQ-CNN-SA scored 95.36% accuracy. Therefore, it effectively handles resolution variability in ultrasound images and improves the reliability of fetal plane classification by supporting more consistent clinical decision-making.","2169-3536","","10.1109/ACCESS.2025.3625205","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11220236","Fetal plane classification;maternal-fetal ultrasound images;quantum convolutional neural networks;multi-resolution;quantum computing;medical image processing;deep learning","Accuracy;Ultrasonic imaging;Deep learning;Convolutional neural networks;Transformers;Feature extraction;Pediatrics;Head;Biological system modeling;Quantum computing","","1","","70","CCBY","28 Oct 2025","2025","","IEEE","IEEE Journals"
"Hybrid Quantum-CNN Framework for Secure, Robust, and Efficient IoT Localization under Adversarial Signal Attacks","M. Jabberi; A. Hakiri; B. Sellami; A. M. Alimi","ISSAT Mateur, University of Carthage, Mateur, Tunisia; E2S, UPPA, LIUPPA, College STEE, University of Pau & Pays de l’Adour, Anglet, France; UMR Espace-Dev, University of Perpignan via Domitia, Perpignan, France; ISSAT Mateur, University of Carthage, Mateur, Tunisia",2025 14th IFIP/IEEE International Conference on Performance Evaluation and Modeling in Wired and Wireless Networks (PEMWN),"29 Dec 2025","2025","","","1","6","Accurate and secure localization is critical for mission-critical IoT applications, yet networks remain vulnerable to attacks such as Neutralization-Inspired Fake Signal (NIFS) attacks. We address accurate positioning under adversarial conditions while respecting latency and energy constraints. We formulate a secure localization problem optimizing accuracy, cryptographic overhead (Ed25519), and robustness against malicious anchors, and propose a Hybrid Quantum-Convolutional Neural Network (HQC-NN) with K-Means clustering for region-specific specialization. The framework integrates cryptographic verification and monitors performance, energy, and security metrics. Simulations show that HQC-NN and HQC-NN-KMeans outperform CNN and CNN-KMeans baselines in accuracy, efficiency, latency, and attack detection, demonstrating their potential for resilient IoT localization.","","978-3-903176-76-8","10.23919/PEMWN67312.2025.11304017","Ministry of Higher Education and Scientific Research; CHIST-ERA; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11304017","Secure Localization;Adversarial Resilience;Hybrid Quantum-CNN (HQC-NN);IoT Energy Efficiency;NIFS Attack Mitigation;Real-Time Localization","Location awareness;Accuracy;Wireless networks;Scalability;Real-time systems;Energy efficiency;Robustness;Internet of Things;Cryptography;Resilience","","","","21","","29 Dec 2025","25-27 Nov. 2025","25-27 Nov. 2025","IEEE","IEEE Conferences"
"Research on Object Detection Model Based on Quantum Convolutional Neural Network","H. Gao","Harbin Institute of Petroleum, Harbin City, Heilongjiang Province, China","2025 IEEE 7th International Conference on Power, Intelligent Computing and Systems (ICPICS)","28 Jan 2026","2025","","","937","941","In recent years, object detection technology has undergone substantial evolution within the realms of deep learning and computer vision, particularly owing to the extensive utilization of traditional convolutional neural networks (CNNs). These technologies perform well in a variety of applications, such as autonomous driving, security monitoring, and medical image analysis. However, traditional CNNS face many challenges when dealing with complex scenes and small target detection, such as background interference, target scale change and occlusion. In this paper, a novel Hybrid model, Hybrid Quantum-Cascade FPN, is proposed, which cleverly combines the advantages of Quantum convolutional neural network (QCNN) and classical CNN. The design of Hybrid quantum-Cascade FPN model is divided into three key stages: first, the Quantum coarse screening stage, which quickly extracts low-level features through quantum feature coding; Next is the quantum-classical feature fusion stage, which uses the parallelism of quantum computing and the structural advantages of classical networks to carry out multi-scale feature fusion. The last is the classical fine-tuning stage, which further optimizes the model to improve the high-level semantic analysis ability. Experiments on multiple data sets show that the model performs well in both detection accuracy and inference speed, especially in complex background and small target detection tasks.","2834-8567","979-8-3315-2633-7","10.1109/ICPICS66386.2025.11347352","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11347352","Quantum Convolutional Neural Networks;Object Detection;Multi-Scale Feature Fusion","Quantum computing;Accuracy;Computational modeling;Semantics;Object detection;Feature extraction;Data models;Stability analysis;Convolutional neural networks;Faces","","","","12","IEEE","28 Jan 2026","29-31 Aug. 2025","29-31 Aug. 2025","IEEE","IEEE Conferences"
"A Parallel Quantum Feature Encoding Scheme for Effective Classical Data Classification in Quantum Convolutional Neural Networks","R. Mashtura; J. Mahmud; S. A. Fattah; M. Saquib","Faculty of CSE, BRAC University, Dhaka, Bangladesh; Faculty of CSE, BRAC University, Dhaka, Bangladesh; Dept. of EEE, Bangladesh University of Engineering and Technology (BUET), West Palashi, Dhaka, Bangladesh; Dept. of EE, University of Texas, Richardson, Texas, USA",TENCON 2023 - 2023 IEEE Region 10 Conference (TENCON),"22 Nov 2023","2023","","","1","5","Quantum machine learning is one of the most exciting new avenues in the world of artificial intelligence, especially because of the enormous computational power of quantum computers and the promise of the development of near error-free quantum computers in the not-so-distant future. For quantum algorithms to be used in real-life applications, quantum computers must be able to work with classical data. One of the key steps in quantum algorithms dealing with classical data is the encoding of classical data points to quantum states, which can then be processed by quantum gates. It is known that the type of encoding technique that works best for a particular network is dependent on the dataset being used. In this paper, a new parallel structure is proposed utilizing two encoding techniques, namely amplitude encoding and angle encoding, for effective classical data classification via quantum neural network. The paper further proposes a maximally expressible and entangled ansatz used to design a simple Quantum Convolutional Neural Network (QCNN) with only 32 parameters, that is used in the latter stages of the network and is kept the same across all encoding instances so that a comparison between the different encoding methods is possible. Extensive experimentation is carried out on two publicly available image datasets, namely MNIST and Fashion MNIST. The results show that the proposed method achieves better results than any of the encoding techniques deployed alone for binary classification.","2159-3450","979-8-3503-0219-6","10.1109/TENCON58879.2023.10322543","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10322543","Amplitude;Angle;Encoding;Quantum;Qubit","Computers;Quantum algorithm;Machine learning algorithms;Quantum entanglement;Qubit;Neural networks;Quantum state","","1","","13","IEEE","22 Nov 2023","31 Oct.-3 Nov. 2023","31 Oct.-3 Nov. 2023","IEEE","IEEE Conferences"
"IMEC: A Memory-Efficient Convolution Algorithm For Quantised Neural Network Accelerators","E. Wadhwa; S. Khandelwal; S. Shreejith","Department of Electronic and Electrical Engineering, Trinity College Dublin, Dublin, Ireland; Department of Electronic and Electrical Engineering, Trinity College Dublin, Dublin, Ireland; Department of Electronic and Electrical Engineering, Trinity College Dublin, Dublin, Ireland","2022 IEEE 33rd International Conference on Application-specific Systems, Architectures and Processors (ASAP)","17 Oct 2022","2022","","","115","121","Quantised convolution neural networks (QCNNs) on FPGAs have shown tremendous potential for deploying deep learning on resource constrained devices closer to the data source or in embedded applications. An essential building block of (Q)CNNs are the convolutional layers. FPGA implementations use modified versions of convolution kernels to reduce the resource overheads using variations of the sliding kernel algorithm. While these alleviate resource consumption to a certain degree, they still incur considerable (distributed) memory resources, requiring the use of larger FPGA devices with sufficient on-chip memory elements to implement deep QCNNs. In this paper, we present the Inverse Memory Efficient Convolution (IMEC) algorithm, a novel strategy to lower the memory consumption of convolutional layers in QCNNs. IMEC lowers the footprint of intermediate matrix buffers incurred within the convolutional layers and the multiply-accumulate (MAC) operators required at each layer through a series of data organisation and computational optimisations. We evaluate IMEC by integrating it into the BNN-PYNQ framework that can compile high-level QCNN representations to the FPGA bitstream. Our results show that IMEC can optimise memory footprint and the overall resource overhead of the convolutional layers by ~33% and ~20% (LUT and FF count) respectively, across multiple quantisation levels (1-bit to 8-bit), while maintaining identical inference accuracy as the state-of-the-art QCNN implementations.","2160-052X","978-1-6654-8308-7","10.1109/ASAP54787.2022.00027","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9912027","Inference Algorithms;Field Programmable Gate Arrays;Convolution Neural Networks","Quantization (signal);Convolution;Memory management;Neural networks;Systems architecture;Inference algorithms;Table lookup","","","","31","IEEE","17 Oct 2022","12-14 July 2022","12-14 July 2022","IEEE","IEEE Conferences"
